,datetime,team1,team2,team1_code,team2_code,round,score1,score2,adj_score1,adj_score2,chances1,chances2,moves1,moves2,group,matchday
92,2016-12-07 14:45:00+00:00,Real Madrid,Borussia Dortmund,MAD,DOR,g,2,2,2.1,2.1,3.606,2.052,1.784,1.452,,
93,2016-12-07 14:45:00+00:00,Bayer Leverkusen,AS Monaco,LEV,MON,g,3,0,2.859,0.0,2.022,0.6950000000000001,0.989,1.581,,
94,2016-12-07 14:45:00+00:00,FC Porto,Leicester City,POR,LEI,g,5,0,5.082,0.0,2.566,0.332,1.613,0.56,,
95,2016-12-07 14:45:00+00:00,Lyon,Sevilla FC,LYON,SEV,g,0,0,0.0,0.0,1.448,0.246,2.073,0.217,,
96,2017-02-14 14:45:00+00:00,Benfica,Borussia Dortmund,BEN,DOR,k,1,0,1.05,0.0,0.655,2.755,0.392,1.842,,
97,2017-02-14 14:45:00+00:00,Paris Saint-Germain,Barcelona,PSG,BAR,k,4,0,4.175,0.0,1.451,0.991,1.766,1.266,,
98,2017-02-15 14:45:00+00:00,Real Madrid,Napoli,MAD,NAP,k,3,1,3.15,1.05,1.643,0.845,2.936,0.849,,
99,2017-02-15 14:45:00+00:00,Bayern Munich,Arsenal,BMU,ARS,k,5,1,4.786,1.05,2.656,1.197,2.467,0.976,,
100,2017-02-21 14:45:00+00:00,Manchester City,AS Monaco,MNC,MON,k,5,3,4.941,3.15,2.757,2.819,2.119,1.056,,
101,2017-02-21 14:45:00+00:00,Bayer Leverkusen,Atletico Madrid,LEV,ATL,k,2,4,2.1,3.787,0.856,2.808,1.3519999999999999,1.574,,
102,2017-02-22 14:45:00+00:00,FC Porto,Juventus,POR,JUV,k,0,2,0.0,2.006,0.138,1.28,0.332,2.575,,
103,2017-02-22 14:45:00+00:00,Sevilla FC,Leicester City,SEV,LEI,k,2,1,2.1,1.05,2.457,0.665,1.925,0.589,,
104,2017-03-07 14:45:00+00:00,Arsenal,Bayern Munich,ARS,BMU,k,1,5,1.05,4.445,0.645,3.65,1.349,1.726,,
105,2017-03-07 14:45:00+00:00,Napoli,Real Madrid,NAP,MAD,k,1,3,1.05,2.625,0.917,1.9889999999999999,0.809,2.021,,
106,2017-03-08 14:45:00+00:00,Barcelona,Paris Saint-Germain,BAR,PSG,k,6,1,4.793,1.05,3.104,1.52,2.211,0.495,,
107,2017-03-08 14:45:00+00:00,Borussia Dortmund,Benfica,DOR,BEN,k,4,0,3.815,0.0,2.275,0.425,1.7850000000000001,0.516,,
108,2017-03-14 15:45:00+00:00,Leicester City,Sevilla FC,LEI,SEV,k,2,0,2.1,0.0,1.5310000000000001,1.329,1.086,1.923,,
109,2017-03-14 15:45:00+00:00,Juventus,FC Porto,JUV,POR,k,1,0,1.05,0.0,2.411,0.513,3.387,0.332,,
110,2017-03-15 15:45:00+00:00,Atletico Madrid,Bayer Leverkusen,ATL,LEV,k,0,0,0.0,0.0,0.882,1.9969999999999999,1.27,1.812,,
111,2017-03-15 15:45:00+00:00,AS Monaco,Manchester City,MON,MNC,k,3,1,2.981,1.05,1.6720000000000002,1.32,0.833,0.9590000000000001,,
112,2017-04-11 14:45:00+00:00,Juventus,Barcelona,JUV,BAR,q,3,0,3.15,0.0,0.934,1.418,1.188,2.503,,
113,2017-04-12 12:45:00+00:00,Borussia Dortmund,AS Monaco,DOR,MON,q,2,3,2.1,2.927,2.192,2.032,2.189,0.8300000000000001,,
114,2017-04-12 14:45:00+00:00,Atletico Madrid,Leicester City,ATL,LEI,q,1,0,1.05,0.0,1.229,0.196,1.956,0.355,,
115,2017-04-12 14:45:00+00:00,Bayern Munich,Real Madrid,BMU,MAD,q,1,2,1.05,2.1,1.521,2.117,1.892,3.692,,
116,2017-04-18 14:45:00+00:00,Leicester City,Atletico Madrid,LEI,ATL,q,1,1,1.05,1.05,1.822,0.154,1.513,0.715,,
